absurd                      	荒谬的
abundance                   	丰满的充满的
accommodation               	住所
accumulate			积累
affection			喜爱
allergic			过敏的
anticipate			期待(participate参与)
appropriate			合适的
arbitrary			任意的
betray				背叛出卖
boundary			分界线
bound(be bound to do)		一定会
boycott				抵制
casual				随便的
collision			碰撞
compassion			同情(-nate)=sympathy
compensate			弥补,补偿=make up
compromise			让步
compulsary			义务的
consensus			共识
conservative			守旧的
consistent			一致的连续的
context				背景语境,周围情况
contract			合同(contrast对立)
contradictory			对立的
controversial			引起矛盾的
conventional			传统的
desperate			绝望的
dilemma				进退两难的(diploma文凭)
disastrous			灾难性的
descrimination			(racial ~)
disturbing			
distract			分散注意力
dominate			家养的
donor				
elegant				优雅的
emission			排放物,散发(emit)
establishment			机构单位(establish建立)
explicit			明确的,直截了当的
facilitate			促进(facility设备天赋)
fragant				芳香的
hatred				仇恨
humble				谦卑的
incident			事件(imply暗示)
identical			一致的
innovate			发明(innocent清白的)
inquire				打听询问(consult咨询)
inspection			检查(insight洞察)
integrate			合并
integrity			完整,诚实
intense				猛烈的
irrigation		adj.	浇水
lag				拖后
leisure				闲暇
likewise			类似地(similarly)
manufacture			制造
massive				大量的大规模的(mess一团糟)
mature				成熟
merciful			仁慈的
military			军事的
mourn				哀悼
motive				动机(motivation动机,motivate激发)
navigation			航行(水上)
neutual				中立的
objective			客观的;目的
outcome				结果
outspoken			直率的
overhear			无意听到
overlook			忽视
parallel			相似之处;平行的
panel				面板;专门小组
pension				养老金(passion热情)
permanent			永久的
perceive			理解,察觉
perception			感觉
personnel			全体人员,人事部门
pessimestic			悲观的(optimistic乐观的)
physician			医师(physics物理学家)
protable			便携的
prejudice			偏见
primitive			初级的,原始的
privilege			特权
proceed				继续
profession			职业
property			财产
proposal			建议
prospect			设想预期;视野(from my ~)
protest				抗议
questionnaire			调查问卷
regulate			控制调节
regulation			规则
representative			代表
resolve				解决;决定
respective			分别的各自的(respectful恭敬的)
resume				简历
riddle				谜语
ridiculous			愚蠢的可笑的
sacred				神圣的(holy)
skeptical			怀疑的
session				会话,正式会议;一段时间
shallow				浅的
sneeze				打喷嚏
submit				递交;顺从
substance			物质;根据
substantial			大量的;重大的
surgery				外科手术
suspension			暂停(suspect怀疑)
tackle				解决
territory			领域版图
theoretical			理论的
thereafter			之后
tournament			锦标赛
transparent			透明的;易懂的
tricky				棘手的
unconscious			无知觉的
undertake			从事;承担(take up)
vacant				空白的
vague				含糊的
vanish				消失灭绝
weave				编织;迂回
wreck				失事
wrinkle				皱纹
